task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
3	fd/6162ce	17459	generate_recipes:get_base_datasets:subset_dataset_accessions	COMPLETED	0	2024-07-26 17:02:52.947	152ms	63ms	62.5%	0	0	856 KB	1.1 KB
1	ca/b86982	17465	ingest:get_params_and_versions:get_params	COMPLETED	0	2024-07-26 17:02:52.959	149ms	7ms	28.6%	0	0	93.8 KB	1.4 KB
4	5c/92657f	17688	generate_recipes:get_reference_fastas:subset_reference_accessions	COMPLETED	0	2024-07-26 17:02:53.113	196ms	61ms	59.3%	3.1 MB	12.6 MB	856 KB	1.1 KB
2	36/57252a	17446	ingest:get_params_and_versions:get_versions	COMPLETED	0	2024-07-26 17:02:52.931	900ms	844ms	94.4%	19.4 MB	47.7 MB	16.5 MB	9.6 KB
5	48/9cb67b	17777	generate_recipes:get_base_datasets:get_base_fastq:download_dataset_accession (1)	COMPLETED	0	2024-07-26 17:02:53.249	12s	12s	31.5%	96.1 MB	143 MB	58.3 MB	52 MB
6	84/9f8d0f	17928	generate_recipes:get_reference_fastas:download_reference_fasta (1)	COMPLETED	0	2024-07-26 17:02:53.368	16.9s	16.8s	0.5%	15.4 MB	713.4 MB	824.9 KB	51.2 KB
8	8f/0ae224	19360	generate_recipes:get_reference_fastas:download_reference_fasta (3)	COMPLETED	0	2024-07-26 17:03:10.291	16s	15.9s	0.6%	14.4 MB	713.4 MB	809.1 KB	38 KB
7	34/f30b32	20092	generate_recipes:get_reference_fastas:download_reference_fasta (2)	COMPLETED	0	2024-07-26 17:03:26.253	15.9s	15.8s	0.5%	15.6 MB	713.4 MB	826.1 KB	51.5 KB
